商品名,コード,ケース,最小ロット,本店,秋田店,由利本荘店
明治おいしい牛乳,5137,40,1,0,0,0
明治コーヒー,5138,40,1,0,0,0
明治牛乳,5139,40,1,0,0,0
明治ﾌﾟﾛﾋﾞｵﾖｰｸﾞﾙﾄLG21,5150,24,4,0,0,0
明治ﾖｰｸﾞﾙﾄR-1ﾄﾞﾘﾝｸﾀｲﾌﾟ,5719,24,4,0,0,0
明治クロレラ乳酸菌,6066,24,4,0,0,0
明治ﾌﾟﾛﾋﾞｵﾖｰｸﾞﾙﾄLG21ﾄﾞﾘﾝ,6221,24,4,0,0,0
はちみつ黒酢,6410,36,36,0,0,0
まろやか調整豆乳,6457,18,18,0,0,0
明治ﾌﾞﾙｶﾞﾘｱきわだつ芳醇,6889,40,1,0,0,0
明治いきいきセサミン,7526,36,36,0,0,0
明治ヨーグルトＲ－１,7549,24,4,0,0,0
明治おいしい牛乳900,7803,12,3,0,0,0
明治軽快グルコサミン,7951,24,4,0,0,0
明治うるおうコラーゲン,7952,24,4,0,0,0
明治ミルクで元気,7972,40,1,0,0,0
明治ロコケア,7973,40,1,0,0,0
明治プルーンブレンド,6795,36,36,0,0,0
明治野菜生活100,4846,36,36,0,0,0
